hour,bins,r_dc1100_dc1700,r_dc1100_airvisual,r_dc1700_airvisual,mae_dc1100_airvisual,mae_dc1700_airvisual,bias_dc1100_airvisual,bias_dc1700_airvisual,min_r,status
0,3718,0.9340203762108942,0.8420876870579411,0.8882969929565641,16.781643356643357,12.102479827864443,6.968033889187736,-1.2899085529854761,0.8420876870579411,keep
1,3723,0.9317490643409946,0.8414694376536149,0.8913623341334095,17.132621541767392,11.838832930432446,7.738208434058555,-0.4115565404243891,0.8414694376536149,keep
2,3720,0.9332681487131175,0.8428294968993744,0.8918037000383396,17.369825268817205,11.910268817204301,8.419153225806452,0.5103575268817203,0.8428294968993744,keep
3,3718,0.9321793355095791,0.8404992916477155,0.8906272365053486,17.815626681011295,12.349069392146314,8.892711135018827,0.9629532006455083,0.8404992916477155,keep
4,3716,0.9292608161395092,0.8442268980716693,0.8994899003576807,18.28752691065662,12.646739773950483,9.103188912809472,1.5479103875134552,0.8442268980716693,keep
5,3717,0.9262579340776002,0.8428507730427726,0.9021539108967386,18.654492870594567,12.992384987893463,8.952206080172182,1.7970769437718592,0.8428507730427726,keep
6,3730,0.9238404450378597,0.8374011042772241,0.8972070812641759,18.765455764075064,13.617756032171583,8.531139410187668,2.158297587131367,0.8374011042772241,keep
7,3735,0.9319923478950406,0.839777090210972,0.8877572890724669,17.73825970548862,13.840781793842035,6.438072289156627,0.4423828647925033,0.839777090210972,keep
8,3736,0.9312985719704597,0.8499225097299026,0.896142926450074,16.794941113490363,13.234591809421842,4.433993576017131,-1.3520248929336192,0.8499225097299026,keep
9,3721,0.9262253989900057,0.849125646034893,0.9061118355691857,16.183243751679655,12.58579682880946,3.4979978500403117,-2.3729293200752486,0.849125646034893,keep
10,3712,0.9251050691233004,0.852831040271731,0.8915104585251873,14.98185614224138,12.93498114224138,2.6367591594827586,-3.6834509698275864,0.852831040271731,keep
11,3693,0.9263912254276186,0.8602275267005465,0.8926182952555385,13.92782290820471,12.539729217438397,2.198280530733821,-4.320422420796101,0.8602275267005465,keep
12,3704,0.931206808196897,0.8664446889521302,0.892891422827379,13.019046976241901,12.001896598272138,1.9823299136069115,-5.104528887688985,0.8664446889521302,keep
13,3703,0.9337667025998204,0.854323138635842,0.8781984738353819,12.333162300837158,11.643937348096138,2.0146907912503376,-5.398339184445044,0.854323138635842,keep
14,3705,0.93132576609978,0.8673909160684354,0.899711276956232,12.101767881241566,11.194322537112011,2.474021592442645,-5.3854507422402165,0.8673909160684354,keep
15,3703,0.9312525982972278,0.8698234703679126,0.8990088985330749,12.244936537942209,11.019284364029165,3.0190926275992442,-4.970156629759654,0.8698234703679126,keep
16,3697,0.929428286365994,0.8698646137393026,0.9025978079649165,12.485488233703002,11.017480389505003,3.498174195293481,-4.646211793345956,0.8698646137393026,keep
17,3685,0.9329789756050801,0.8668886548203073,0.9042938565210956,13.374084124830393,11.656795115332429,3.8443147896879237,-3.7990040705563093,0.8668886548203073,keep
18,3683,0.9306594115581694,0.8377529975869574,0.8787173613501968,14.758457778984523,12.969539777355417,2.8287265815910945,-4.047397502036383,0.8377529975869574,keep
19,3683,0.9325425636860825,0.8367561563341255,0.8710402566396984,16.100122183002988,14.065954385012219,1.7576024979636167,-4.854270974748846,0.8367561563341255,keep
20,3690,0.9346375845603991,0.8362007036146795,0.8662446185540343,16.689485094850948,13.935369918699188,1.6947967479674797,-5.020640921409214,0.8362007036146795,keep
21,3709,0.9312493775708787,0.8365781589564387,0.872329928481306,17.15568886492316,13.590489350229172,2.389525478565651,-4.551567808034511,0.8365781589564387,keep
22,3729,0.9317680840898718,0.830086473809303,0.8772029468406297,17.130825958702065,13.167225797801018,3.8275274872620004,-3.3235894341646555,0.830086473809303,keep
23,3725,0.9347670034516042,0.8351393208936944,0.8862656099250676,16.894375838926177,12.331855033557046,5.627369127516778,-2.208330201342282,0.8351393208936944,keep
