month,bins,r_dc1100_dc1700,r_dc1100_airvisual,r_dc1700_airvisual,mae_dc1100_airvisual,bias_dc1100_airvisual,mae_dc1700_airvisual,bias_dc1700_airvisual
2019-08,491,0.9568760122480418,0.9368144859064931,0.9227839311724634,14.45906313645621,9.602036659877799,9.512118126272911,-1.9322810590631367
2019-09,2425,0.9559893837710493,0.8949859141250055,0.902623129420319,16.331340206185565,1.7065567010309277,14.976098969072165,-9.773096907216495
2019-10,2929,0.9474602838378746,0.8630788677130754,0.8315483119529494,17.093939911232503,8.124325708432913,14.832050187777398,-1.2699709798566063
2019-11,2764,0.965626750446247,0.8739763173461137,0.8926605024287825,21.64527858176556,11.13153039073806,18.32082489146165,3.407832850940666
2019-12,2872,0.95720980346759,0.8662232921793138,0.9088071033405737,25.9875348189415,16.85024373259053,21.55693593314763,14.744968662952648
2020-01,2755,0.9177392826016135,0.8710815608314277,0.9518650641782797,27.10196007259528,22.706533575317604,13.210343012704175,10.908582577132487
2020-02,2604,0.9606946334260318,0.8963029000753768,0.9472048211584864,32.4386712749616,18.864247311827956,20.499579493087555,16.70828149001536
2020-03,1971,0.9528509640113287,0.9127196013297351,0.9197902392043623,22.800862506341957,21.957331303906646,10.168069507864027,4.132305936073059
2020-04,2743,0.9547228154969825,0.8482048491035372,0.8104927933882478,18.53129784907036,15.899362012395187,11.16778162595698,-1.9042453518045936
2020-05,2958,0.9797309458122339,0.862499414098453,0.8667405344400514,11.494945909398243,9.51208586883029,10.64418864097363,-10.124972954699121
2020-06,2879,0.9894134401763157,0.83947285144563,0.8418615532577579,13.150642584230635,8.140326502257729,9.692999305314345,-9.407542549496352
2020-07,2976,0.9878699152740055,0.8398296154767557,0.8686031091275052,10.473756720430108,8.084979838709678,10.281952284946236,-10.224109543010753
2020-08,2976,0.9718924970157314,0.8780742728375884,0.8927181843508126,9.974327956989248,8.94489247311828,9.88924563172043,-9.844884072580646
2020-09,2875,0.9623695058994624,0.796661739079461,0.6876632222517659,13.699286956521739,6.54728695652174,10.063293913043479,-4.626125217391304
2020-10,2889,0.9512836378156498,0.8462606805191641,0.9126164595196857,16.973831775700933,15.024922118380061,6.425219799238491,2.4290931118033923
2020-11,2875,0.9385440947517605,0.8672572748842238,0.8861610471812541,18.807495652173913,15.26951304347826,11.180339130434781,6.0801547826086955
2020-12,2933,0.9678975071454624,0.8904904699770321,0.9102790227592231,19.514081145584726,12.546164336856462,15.361749062393454,9.16127173542448
2021-01,2521,0.9817600917972296,0.9058320765358955,0.9173440519077976,21.303887346291155,-7.445537485124951,20.704000396667986,9.931326854422847
2021-02,2685,0.9168167434599295,0.8141864371033868,0.7536059539778679,12.656219739292364,9.045530726256983,9.998119180633147,-1.621221601489758
2021-03,2976,0.963233754627248,0.8677000567394989,0.8744017714997812,13.88338373655914,10.392153897849463,9.180522513440861,-0.8469774865591397
2021-04,2844,0.9664289986564539,0.9256561577625247,0.9477813257561521,10.915629395218003,8.905221518987341,6.195165260196905,-4.557563291139241
2021-05,2583,0.9137993704541221,0.768222278871188,0.7719279019335015,7.414943863724352,0.1523035230352304,10.067801006581496,-9.7438714672861
2021-06,2871,0.9208857227585593,0.8837168045909524,0.8096691270586625,11.654057819575062,-3.4619644723092997,11.67649947753396,-11.233974225008708
2021-07,2003,0.962246272789337,0.8402682169195341,0.8810573607983847,6.439990014977534,-0.1534697953070394,7.3101672491263106,-6.995129805292063
2021-08,2969,0.9665553727150107,0.848424975684176,0.8919129659196181,8.738447288649377,-3.27030986864264,9.387068036375885,-9.127391377568204
2021-09,2880,0.8725298381257871,0.6786450299582601,0.8208343530014052,11.723906249999999,-7.790607638888889,12.12576736111111,-11.94745486111111
2021-10,2976,0.9259598165392862,0.8346236589346697,0.8224893067776413,17.053595430107528,-8.855040322580646,16.017163978494626,-15.35578629032258
2021-11,2879,0.9418022519309774,0.7758521668076744,0.7519599417227809,16.054463355331713,-8.954949635290031,15.504755123306705,-11.338169503299756
2021-12,1682,0.9059440216935456,0.9231225652536218,0.8985401209945766,24.3929548156956,-21.70567776456599,19.636105826397145,1.2021938168846613
2022-02,20,-0.18938697674434601,-0.661883595069712,0.7939146785105651,5.52,-5.005000000000001,6.013000000000002,-4.7755
2022-03,2976,0.9053257964351605,0.85010736738066,0.9054334123144573,13.325369623655915,2.712768817204301,15.091231518817203,9.995082325268818
2022-04,2880,0.9358515817826502,0.825752662516936,0.857109578782007,14.28314236111111,-9.443697916666666,13.527177083333331,-11.814024305555556
2022-05,2976,0.865459432258085,0.6934495073612008,0.7067722349776846,11.965927419354838,-2.7349798387096773,10.523985215053763,-1.5738138440860214
2022-06,2436,0.37778457107296076,0.08478728474277156,0.744575996922337,14.296346469622332,-11.694006568144498,10.718392857142858,-8.106873973727422
2022-07,983,0.5474911626862589,0.16727419092252685,0.7638856393566213,12.800762970498473,-11.995371312309258,8.550432349949135,-7.92792980671414
